customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0013-BFBH,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),58.09,776.69,Yes
0014-ULEM,Male,0,No,Yes,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,105.85,4842.37,Yes
0015-NMXJ,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,118.75,645.59,No
0016-QYJJ,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.43,3122.49,No
0017-HTXF,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),78.33,3442.82,No
0018-YROC,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,67.27,1251.26,No
0019-AFFH,Female,1,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),31.52,1502.12,No
0020-ZUVP,Male,0,No,No,26,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),94.71,2452.79,No
0021-JWDJ,Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.96,4129.38,No
0022-CPIF,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),63.27,101.76,No
0023-PIPJ,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),69.11,320.95,No
0024-WKQL,Female,1,Yes,No,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),28.96,1731.56,No
0025-BHHL,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),104.5,6151.0,No
0026-XIPN,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),90.21,1779.57,No
0027-ZSYQ,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.4,2838.34,No
0028-HOUZ,Female,0,No,Yes,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),33.71,1205.84,No
0029-KPBJ,Female,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),41.38,3010.19,No
0030-BGOX,Female,0,No,Yes,24,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),41.0,954.83,No
0031-RLSZ,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,31.28,277.85,Yes
0032-GPDE,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.43,1265.61,No
0033-ETYE,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.1,5234.59,No
0034-JRMU,Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),27.65,390.74,No
0035-POQN,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,118.75,8582.38,Yes
0036-HKKQ,Male,0,No,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),34.91,1806.23,No
0037-QAFC,Female,1,Yes,No,18,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,18.25,262.93,No
0038-RTTV,Male,0,No,Yes,24,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),84.24,2010.75,No
0039-CXCM,Male,1,Yes,Yes,29,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,64.62,1888.99,No
0040-LWKY,Male,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.38,1909.28,No
0041-DXHT,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.11,45.06,Yes
0042-EFZU,Male,0,Yes,Yes,72,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),63.57,4575.96,No
0043-RWOH,Female,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.96,2508.06,Yes
0044-FWQC,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.96,4192.7,No
0045-THBQ,Female,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,50.16,1567.08,No
0046-UKXD,Female,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,71.48,1248.29,No
0047-CVWG,Female,1,No,Yes,26,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8,2344.14,Yes
0048-DYVD,Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),62.08,3536.93,No
0049-HUIJ,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),63.53,712.72,No
0050-GGYP,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.83,7426.28,Yes
0051-FNWM,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),66.38,1385.67,No
0052-ZYMW,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.19,1544.8,No
0053-VZHG,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,67.37,4603.89,No
0054-YKYI,Female,1,No,No,46,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.23,2942.5,No
0055-GIKD,Male,0,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.71,1475.13,Yes
0056-AFCI,Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.91,2016.57,Yes
0057-IXLZ,Female,0,Yes,Yes,58,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.47,3842.84,No
0058-HANS,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),74.82,1903.36,No
0059-UMGS,Male,0,No,No,42,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,28.74,1197.58,No
0060-NAON,Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),118.75,5904.14,Yes
0061-TXEM,Male,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,67.16,1583.07,No
0062-KYLU,Male,0,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,32.95,813.7,Yes
0063-WQEN,Male,0,No,No,7,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,20.8,65.79,No
0064-DIBZ,Male,0,Yes,No,8,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),78.9,588.5,No
0065-DYPZ,Male,0,No,No,72,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.1,3866.53,No
0066-JBGU,Female,0,No,No,58,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.96,4198.81,No
0067-YXHH,Female,0,No,No,0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,118.75, ,No
0068-GJNV,Male,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,65.78,4329.27,No
0069-MBJI,Female,1,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),97.63, ,Yes
0070-NIBX,Female,0,No,No,19,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),35.66,593.8,No
0071-WAYT,Female,0,No,Yes,2,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.85,108.47,Yes
0072-FPAH,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.42,2802.75,Yes
0073-WDJS,Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.3,2153.91,Yes
0074-GUHM,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,70.67,2103.14,No
0075-QQZX,Male,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),109.49,1662.75,No
0076-VMHJ,Female,1,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,94.01,2135.55,No
0077-RWOH,Female,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,118.75,5284.93,Yes
0078-AILF,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,63.44,456.18,No
0079-VZSK,Male,0,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),75.18,1397.55,No
0080-YKNS,Female,0,No,No,42,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,84.95,3646.84,No
0081-HOIM,Male,1,Yes,No,16,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,68.43,1023.74,No
0082-WKHS,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,91.62,99.13,No
0083-UYGK,Male,1,Yes,Yes,22,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,48.8,1099.56,Yes
0084-WEOS,Female,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.24,1852.15,No
0085-IDYZ,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,49.6,3487.57,No
0086-SEPI,Male,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.76,113.87,No
0087-FJBN,Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,18.25,315.76,No
0088-EPPR,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,60.36,1034.25,No
0089-CSRH,Female,0,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,161.78,Yes
0090-HMOG,Female,0,No,No,32,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),52.96,1676.07,No
0091-ZFZY,Female,0,No,No,5,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),18.25,132.07,No
0092-YEEE,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),113.04,1045.63,No
0093-FIAM,Female,1,No,Yes,48,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),53.0,2554.62,No
0094-BHBD,Female,1,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,438.63,Yes
0095-LHRT,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),65.92,4713.22,No
0096-EVOA,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,72.97,1130.62,No
0097-UBGH,Female,0,No,No,19,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,46.96,922.61,No
0098-TMPO,Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,113.39,1235.35,Yes
0099-OLWO,Female,1,No,Yes,8,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.68,746.49,No
0100-UZOB,Male,0,No,No,72,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),57.61,4149.38,No
0101-GLNJ,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.81,3528.02,No
0102-SYID,Female,0,No,Yes,12,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,111.48,1341.33,No
0103-QHVJ,Female,0,Yes,Yes,38,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,28.56,966.6,Yes
0104-EFMV,Female,0,Yes,No,72,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.39,2812.91,No
0105-HGNV,Female,0,Yes,Yes,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.76,127.84,No
0106-IRYW,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,18.25,191.34,Yes
0107-OPIF,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.57,459.53,No
0108-COQF,Female,0,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),114.41,7344.64,Yes
0109-MOSE,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,61.21,335.17,No
0110-TGTV,Male,0,Yes,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,18.25,191.04,No
0111-SVSL,Female,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),89.06,2323.16,No
0112-YHVF,Male,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,114.31,3566.21,No
0113-ZTXS,Female,0,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,980.11,No
0114-LOOV,Female,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),80.96,1377.57,No
0115-SSOD,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.42,2125.07,Yes
0116-AHFZ,Female,1,No,No,72,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.33,5754.62,No
0117-PNOW,Male,1,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.04,836.05,Yes
0118-CGJH,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,68.59,580.94,Yes
0119-LCCR,Female,1,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,57.16,2213.99,No
0120-CQVV,Male,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),109.41,5106.34,No
0121-SMBT,Female,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,67.7,1186.18,No
0122-MOXX,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),118.75,856.85,No
0123-TAPQ,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),93.4,4546.35,Yes
0124-MQQO,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,68.32,2439.83,No
0125-NQAR,Male,0,Yes,Yes,66,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,37.47,2453.41,No
0126-QNLF,Female,0,No,No,59,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.89,4853.71,Yes
0127-EPXC,Female,0,Yes,No,7,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.95,373.73,Yes
0128-CICX,Male,0,Yes,No,57,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,45.28,2574.98,No
0129-PDDQ,Female,1,Yes,No,6,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),54.11,330.23,No
0130-ISMQ,Female,0,No,No,63,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),26.6,1663.61,No
0131-ESJJ,Female,0,No,No,47,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,117.8,5546.43,No
0132-RREX,Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,28.9,765.5,Yes
0133-YYAE,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.16,2390.32,No
0134-THRZ,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),41.11,96.07,No
0135-GOOV,Male,0,Yes,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,22.09,35.32,No
0136-WGCZ,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.19,636.72,Yes
0137-KPAZ,Male,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.75,3283.14,No
0138-WYWP,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),110.57,2260.97,Yes
0139-GCVB,Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,77.49,548.25,Yes
0140-INML,Male,0,Yes,No,57,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.45,4099.11,No
0141-EOSI,Female,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,87.85,659.76,No
0142-NAYS,Male,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.58,2991.51,Yes
0143-EXIW,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.68,909.15,No
0144-UUOC,Female,1,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,45.24,976.28,Yes
0145-XOPR,Female,1,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.42,457.08,No
0146-VGWP,Male,1,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.89,5299.45,No
0147-TYXL,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,21.22,18.85,Yes
0148-CQAB,Male,0,No,No,4,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),58.08,188.08,Yes
0149-QDFS,Male,0,Yes,No,32,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,104.75,3341.18,No
0150-MNHV,Female,0,No,No,60,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),74.18,4494.71,No
0151-SJCN,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,62.02,192.03,Yes
0152-WOHR,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,49.29,2061.08,No
0153-VSRM,Male,1,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.17,1602.09,Yes
0154-JKOT,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,102.78,2710.23,No
0155-PTZX,Male,1,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.05,1376.02,Yes
0156-FEWH,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,49.7,578.55,No
0157-QGFM,Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,55.89,721.91,No
0158-CGHF,Female,0,Yes,No,35,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),38.41,1428.43,Yes
0159-NWPM,Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.37,147.89,Yes
0160-VZMA,Female,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),68.21,1889.8,No
0161-AYVH,Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),83.35,875.09,Yes
0162-DUKV,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.42,436.29,No
0163-RABR,Female,0,No,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,69.01,1800.41,No
0164-CSGC,Female,1,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,81.87,5640.58,No
0165-NMDT,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,60.17,1695.09,Yes
0166-ESLR,Male,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.43,854.08,No
0167-HDDX,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),84.49,107.84,Yes
0168-IXHR,Male,0,No,No,31,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,97.6,3008.15,No
0169-GGXA,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),32.86,841.01,No
0170-YOWB,Female,0,No,Yes,35,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.25,619.07,No
0171-OULU,Female,0,No,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),73.53,1424.4,No
0172-PDJX,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,930.18,No
