customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,num_services,Churn,churn_flag,churn_probability,risk_segment
0041-DXHT,Male,0,No,Yes,2,0-12 mo,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.11,45.06,4,Yes,1,,N/A
0042-EFZU,Male,0,Yes,Yes,72,49-72 mo,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),63.57,4575.96,2,No,0,,N/A
0043-RWOH,Female,0,No,No,29,25-48 mo,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.96,2508.06,4,Yes,1,,N/A
0044-FWQC,Female,0,Yes,Yes,72,49-72 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.96,4192.7,3,No,0,,N/A
0045-THBQ,Female,0,Yes,No,31,25-48 mo,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,50.16,1567.08,4,No,0,,N/A
0046-UKXD,Female,0,No,Yes,18,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,71.48,1248.29,2,No,0,,N/A
0047-CVWG,Female,1,No,Yes,26,25-48 mo,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8,2344.14,4,Yes,1,,N/A
0048-DYVD,Male,0,Yes,No,56,49-72 mo,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),62.08,3536.93,3,No,0,,N/A
0049-HUIJ,Female,0,No,No,12,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),63.53,712.72,2,No,0,,N/A
0050-GGYP,Female,0,No,Yes,72,49-72 mo,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.83,7426.28,5,Yes,1,,N/A
0051-FNWM,Male,0,No,No,20,13-24 mo,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),66.38,1385.67,6,No,0,,N/A
0052-ZYMW,Female,0,Yes,Yes,72,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.19,1544.8,1,No,0,,N/A
0053-VZHG,Male,0,Yes,Yes,68,49-72 mo,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,67.37,4603.89,6,No,0,,N/A
0054-YKYI,Female,1,No,No,46,25-48 mo,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.23,2942.5,5,No,0,,N/A
0055-GIKD,Male,0,No,Yes,20,13-24 mo,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.71,1475.13,6,Yes,1,,N/A
0056-AFCI,Female,0,No,No,28,25-48 mo,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.91,2016.57,5,Yes,1,,N/A
0057-IXLZ,Female,0,Yes,Yes,58,49-72 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.47,3842.84,3,No,0,,N/A
0058-HANS,Male,0,Yes,No,25,25-48 mo,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),74.82,1903.36,4,No,0,,N/A
0059-UMGS,Male,0,No,No,42,25-48 mo,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,28.74,1197.58,5,No,0,,N/A
0060-NAON,Male,0,Yes,No,50,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),118.75,5904.14,1,Yes,1,,N/A
0061-TXEM,Male,0,Yes,Yes,23,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,67.16,1583.07,2,No,0,,N/A
0062-KYLU,Male,0,Yes,No,24,13-24 mo,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,32.95,813.7,4,Yes,1,,N/A
0063-WQEN,Male,0,No,No,7,0-12 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,20.8,65.79,4,No,0,,N/A
0064-DIBZ,Male,0,Yes,No,8,0-12 mo,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),78.9,588.5,4,No,0,,N/A
0065-DYPZ,Male,0,No,No,72,49-72 mo,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.1,3866.53,5,No,0,,N/A
0066-JBGU,Female,0,No,No,58,49-72 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.96,4198.81,3,No,0,,N/A
0067-YXHH,Female,0,No,No,0,0-12 mo,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,118.75,0.0,4,No,0,,N/A
0068-GJNV,Male,1,Yes,No,65,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,65.78,4329.27,2,No,0,,N/A
0069-MBJI,Female,1,Yes,No,0,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),97.63,0.0,1,Yes,1,,N/A
0070-NIBX,Female,0,No,No,19,13-24 mo,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),35.66,593.8,2,No,0,,N/A
0071-WAYT,Female,0,No,Yes,2,0-12 mo,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.85,108.47,3,Yes,1,,N/A
0072-FPAH,Female,0,No,No,72,49-72 mo,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.42,2802.75,7,Yes,1,,N/A
0073-WDJS,Male,0,No,No,72,49-72 mo,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.3,2153.91,4,Yes,1,,N/A
0074-GUHM,Female,1,No,No,30,25-48 mo,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,70.67,2103.14,4,No,0,,N/A
0075-QQZX,Male,0,No,Yes,15,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),109.49,1662.75,1,No,0,,N/A
0076-VMHJ,Female,1,Yes,No,22,13-24 mo,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,94.01,2135.55,5,No,0,,N/A
0077-RWOH,Female,1,Yes,No,45,25-48 mo,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,118.75,5284.93,5,Yes,1,,N/A
0078-AILF,Female,0,No,No,8,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,63.44,456.18,1,No,0,,N/A
0079-VZSK,Male,0,Yes,No,18,13-24 mo,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),75.18,1397.55,5,No,0,,N/A
0080-YKNS,Female,0,No,No,42,25-48 mo,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,84.95,3646.84,6,No,0,,N/A
0081-HOIM,Male,1,Yes,No,16,13-24 mo,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,68.43,1023.74,4,No,0,,N/A
0082-WKHS,Female,0,No,Yes,1,0-12 mo,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,91.62,99.13,4,No,0,,N/A
0083-UYGK,Male,1,Yes,Yes,22,13-24 mo,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,48.8,1099.56,5,Yes,1,,N/A
0084-WEOS,Female,0,Yes,Yes,42,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.24,1852.15,1,No,0,,N/A
0085-IDYZ,Male,0,No,Yes,72,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,49.6,3487.57,1,No,0,,N/A
0086-SEPI,Male,1,Yes,No,1,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.76,113.87,1,No,0,,N/A
0087-FJBN,Female,0,Yes,No,24,13-24 mo,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,18.25,315.76,6,No,0,,N/A
0088-EPPR,Male,0,Yes,No,19,13-24 mo,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,60.36,1034.25,3,No,0,,N/A
0089-CSRH,Female,0,No,No,8,0-12 mo,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,161.78,0,Yes,1,,N/A
0090-HMOG,Female,0,No,No,32,25-48 mo,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),52.96,1676.07,5,No,0,,N/A
0091-ZFZY,Female,0,No,No,5,0-12 mo,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),18.25,132.07,3,No,0,,N/A
0092-YEEE,Female,0,Yes,No,10,0-12 mo,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),113.04,1045.63,6,No,0,,N/A
0093-FIAM,Female,1,No,Yes,48,25-48 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),53.0,2554.62,3,No,0,,N/A
0094-BHBD,Female,1,Yes,No,19,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,438.63,1,Yes,1,,N/A
0095-LHRT,Female,0,No,Yes,72,49-72 mo,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),65.92,4713.22,3,No,0,,N/A
0096-EVOA,Female,0,No,No,15,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,72.97,1130.62,1,No,0,,N/A
0097-UBGH,Female,0,No,No,19,13-24 mo,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,46.96,922.61,5,No,0,,N/A
0098-TMPO,Female,0,No,No,11,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,113.39,1235.35,1,Yes,1,,N/A
0099-OLWO,Female,1,No,Yes,8,0-12 mo,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.68,746.49,3,No,0,,N/A
0100-UZOB,Male,0,No,No,72,49-72 mo,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),57.61,4149.38,3,No,0,,N/A
0101-GLNJ,Male,0,Yes,No,44,25-48 mo,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.81,3528.02,3,No,0,,N/A
0102-SYID,Female,0,No,Yes,12,0-12 mo,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,111.48,1341.33,7,No,0,,N/A
0103-QHVJ,Female,0,Yes,Yes,38,25-48 mo,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,28.56,966.6,6,Yes,1,,N/A
0104-EFMV,Female,0,Yes,No,72,49-72 mo,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.39,2812.91,2,No,0,,N/A
0105-HGNV,Female,0,Yes,Yes,2,0-12 mo,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.76,127.84,7,No,0,,N/A
0106-IRYW,Female,0,Yes,No,9,0-12 mo,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,18.25,191.34,2,Yes,1,,N/A
0107-OPIF,Female,0,Yes,No,7,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.57,459.53,2,No,0,,N/A
0108-COQF,Female,0,No,No,65,49-72 mo,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),114.41,7344.64,6,Yes,1,,N/A
0109-MOSE,Female,0,Yes,Yes,6,0-12 mo,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,61.21,335.17,3,No,0,,N/A
0110-TGTV,Male,0,Yes,No,11,0-12 mo,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,18.25,191.04,6,No,0,,N/A
0111-SVSL,Female,0,No,No,25,25-48 mo,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),89.06,2323.16,5,No,0,,N/A
0112-YHVF,Male,0,Yes,Yes,31,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,114.31,3566.21,1,No,0,,N/A
0113-ZTXS,Female,0,No,Yes,52,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,980.11,1,No,0,,N/A
0114-LOOV,Female,0,No,Yes,16,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),80.96,1377.57,1,No,0,,N/A
0115-SSOD,Male,0,No,No,24,13-24 mo,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.42,2125.07,3,Yes,1,,N/A
0116-AHFZ,Female,1,No,No,72,49-72 mo,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.33,5754.62,4,No,0,,N/A
0117-PNOW,Male,1,Yes,Yes,11,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.04,836.05,2,Yes,1,,N/A
0118-CGJH,Female,0,Yes,No,9,0-12 mo,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,68.59,580.94,6,Yes,1,,N/A
0119-LCCR,Female,1,Yes,No,39,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,57.16,2213.99,2,No,0,,N/A
0120-CQVV,Male,0,No,No,47,25-48 mo,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),109.41,5106.34,5,No,0,,N/A
0121-SMBT,Female,0,Yes,No,17,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,67.7,1186.18,1,No,0,,N/A
0122-MOXX,Male,0,Yes,Yes,7,0-12 mo,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),118.75,856.85,5,No,0,,N/A
0123-TAPQ,Female,0,Yes,Yes,48,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),93.4,4546.35,1,Yes,1,,N/A
0124-MQQO,Male,0,No,No,35,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,68.32,2439.83,1,No,0,,N/A
0125-NQAR,Male,0,Yes,Yes,66,49-72 mo,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,37.47,2453.41,1,No,0,,N/A
0126-QNLF,Female,0,No,No,59,49-72 mo,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.89,4853.71,2,Yes,1,,N/A
0127-EPXC,Female,0,Yes,No,7,0-12 mo,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.95,373.73,6,Yes,1,,N/A
0128-CICX,Male,0,Yes,No,57,49-72 mo,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,45.28,2574.98,4,No,0,,N/A
0129-PDDQ,Female,1,Yes,No,6,0-12 mo,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),54.11,330.23,7,No,0,,N/A
0130-ISMQ,Female,0,No,No,63,49-72 mo,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),26.6,1663.61,4,No,0,,N/A
0131-ESJJ,Female,0,No,No,47,25-48 mo,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,117.8,5546.43,3,No,0,,N/A
0132-RREX,Male,0,Yes,No,26,25-48 mo,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,28.9,765.5,5,Yes,1,,N/A
0133-YYAE,Male,0,Yes,No,32,25-48 mo,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.16,2390.32,5,No,0,,N/A
0134-THRZ,Male,0,No,No,3,0-12 mo,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),41.11,96.07,4,No,0,,N/A
0135-GOOV,Male,0,Yes,No,1,0-12 mo,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,22.09,35.32,4,No,0,,N/A
0136-WGCZ,Male,0,Yes,Yes,12,0-12 mo,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.19,636.72,2,Yes,1,,N/A
0137-KPAZ,Male,0,Yes,Yes,55,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.75,3283.14,1,No,0,,N/A
0138-WYWP,Male,0,Yes,No,20,13-24 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),110.57,2260.97,4,Yes,1,,N/A
0139-GCVB,Male,0,Yes,No,8,0-12 mo,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,77.49,548.25,4,Yes,1,,N/A
0140-INML,Male,0,Yes,No,57,49-72 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.45,4099.11,3,No,0,,N/A
0141-EOSI,Female,0,Yes,No,8,0-12 mo,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,87.85,659.76,8,No,0,,N/A
0142-NAYS,Male,0,No,Yes,54,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.58,2991.51,1,Yes,1,,N/A
0143-EXIW,Female,0,Yes,No,19,13-24 mo,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.68,909.15,4,No,0,,N/A
0144-UUOC,Female,1,No,No,19,13-24 mo,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,45.24,976.28,4,Yes,1,,N/A
0145-XOPR,Female,1,Yes,No,10,0-12 mo,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.42,457.08,4,No,0,,N/A
0146-VGWP,Male,1,No,No,72,49-72 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.89,5299.45,3,No,0,,N/A
0147-TYXL,Male,0,Yes,No,2,0-12 mo,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,21.22,18.85,3,Yes,1,,N/A
0148-CQAB,Male,0,No,No,4,0-12 mo,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),58.08,188.08,6,Yes,1,,N/A
